Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1.07158E+13,1.18235E+13,1.27114E+13,1.32266E+13,1.34616E+13,1.46502E+13,1.62834E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1.00585E+13,1.02425E+13,1.05967E+13,1.02817E+13,1.05176E+13,1.13762E+13,1.16389E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2.10043E+13,2.1241E+13,2.18787E+13,2.17601E+13,2.2462E+13,2.39316E+13,2.59414E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,4.07052E+12,4.32734E+12,4.03728E+12,3.08965E+12,2.96106E+12,3.32377E+12,3.41106E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2.24062E+13,2.34168E+13,2.37334E+13,2.04461E+13,2.0384E+13,2.15518E+13,2.30688E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.08398E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32928E+11,2.35369E+11,2.50895E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1.26389E+13,1.31895E+13,1.34901E+13,1.16723E+13,1.19652E+13,1.26223E+13,1.36466E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1.32482E+12,1.35476E+12,1.3694E+12,1.19512E+12,1.23208E+12,1.30931E+12,1.41904E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
